ext_recipe_id,title,category,subcategory,description,num_ingredients,num_steps,directions_text
106,Air Fryer Baked Potatoes,Air Fryer Recipes,Air Fryer Main Dish Recipes,"A baked potato in the air fryer comes out beautifully crusty on the outside and light and fluffy on the inside, just what a great baked potato should be! Serve them with your favorite toppings, like sour cream, butter, or chives.",3,3,"Gather all ingredients and preheat an air fryer to 400 degrees F (200 degrees C).
Brush potatoes with peanut oil, sprinkle with salt, and place them in the air fryer basket.
Cook potatoes until very tender when pierced with a fork, about 1 hour. Serve and enjoy!"
107,Air Fryer Sausage Patties,Air Fryer Recipes,Air Fryer Main Dish Recipes,These air fryer sausage patties will be nicely browned. The best part is — you will avoid grease splatter all over your stovetop!,2,4,"Grab your ingredients, and preheat an air fryer to 400 degrees F (200 degrees C). Lightly grease the inside of the air fryer basket with nonstick spray.
Arrange sausage patties in a single layer in the air fryer basket.
Cook in the preheated air fryer for 5 minutes; flip the patties and cook about 3 minutes more. An instant-read thermometer inserted into the center of a patty should read at least 160 degrees F (70 degrees C).
Serve hot and enjoy!"
108,Air Fryer Tilapia with Fresh Lemon Pepper,Air Fryer Recipes,Air Fryer Main Dish Recipes,"Cook tilapia in an air fryer with fresh lemon pepper to kick up the flavor. Although this fish is low carb and light, you won't be sacrificing flavor.",10,4,"Preheat the air fryer to 400 degrees F (200 degrees C) for 3 minutes.
Meanwhile, rinse tilapia fillets and pat dry with a paper towel.
Mix together lemon zest, olive oil, garlic, pepper, and salt in a small bowl until well combined. Rub over tops of fillets, then sprinkle lightly with paprika. Lightly coat the air fryer basket with cooking spray. Arrange fillets evenly in the basket, spice-side up. Do not crowd; if needed, cook in batches.
Cook in the preheated air fryer until fish flakes easily with a fork, 7 to 10 minutes. Remove fillets to a plate and garnish with parsley. Serve with lemon wedges."
109,Air Fryer Lobster Tails with Lemon-Garlic Butter,Air Fryer Recipes,Air Fryer Main Dish Recipes,Air fry lobster tails for an elegant meal for two at home. They come out succulent and meaty. Delicious with lemony garlic butter and parsley.,7,7,"Gather all ingredients. Preheat an air fryer to 380 degrees F (195 degrees C).
Butterfly lobster tails by cutting lengthwise through the centers of the hard top shells and meat with kitchen shears. Cut to, but not through, the bottoms of the shells.
Spread tail halves apart. Place tails in the air fryer basket with lobster meat facing up.
Melt butter in a small saucepan over medium heat. Add lemon zest and garlic; heat until garlic is fragrant, about 30 seconds.
Transfer 2 tablespoons of butter mixture to a small bowl; brush this onto lobster tails. Discard any remaining brushed butter to avoid contamination from uncooked lobster. Season lobster with salt and pepper.
Cook in the preheated air fryer until lobster meat is opaque, 5 to 7 minutes.
Spoon reserved butter from the saucepan over lobster meat. Top with parsley and serve with lemon wedges."
110,Air Fryer Chicken Cordon Bleu,Air Fryer Recipes,Air Fryer Main Dish Recipes,Crispy air fryer chicken Cordon Bleu stuffed with ham and melty cheese. Serve with a steamed vegetable for a complete and satisfying meal.,11,6,"Gather the ingredients.
Place a chicken breast on a flat work surface. Slice horizontally through the middle, being careful not to cut all the way through to the other side. Open the 2 sides and spread them out like an open book. Place chicken breast between 2 sheets of heavy plastic on a solid, level surface; lightly pound with the smooth side of a meat mallet to a 1/4-inch thickness. Repeat with remaining chicken breast.
Season each chicken breast with salt and pepper. Spread Dijon mustard on top. Place 1 slice of cheese on each breast. Top each with 2 slices of ham and 1 slice of cheese. Roll each breast up and secure with a toothpick.
Place flour in a shallow bowl. Place egg in a second bowl. Mix panko bread crumbs and grated Parmesan in a third bowl. Preheat an air fryer to 350 degrees F (175 degrees C).
Meanwhile, dredge chicken breasts in flour; shake off excess. Dip into beaten egg, allowing any excess egg to drip back into the bowl. Press into bread crumb mixture to coat both sides; place breaded chicken breasts onto a plate and spray with nonstick spray. Let sit for 5 minutes while the air fryer preheats, then arrange breaded chicken in a single layer in the air fryer basket.
Cook in the preheated air fryer for 10 minutes; flip chicken breasts and spray any dry spots with nonstick spray. Cook until chicken is no longer pink in the center, 8 minutes more. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C)."
111,Crumbed Chicken Tenderloins (Air Fried),Air Fryer Recipes,Air Fryer Main Dish Recipes,These air fryer chicken tenderloins beat chicken nuggets any day and the recipe is so simple. I tend to use chicken tenderloins but you can use sliced chicken breasts if easier.,4,8,"Gather all ingredients.
Preheat an air fryer to 350 degrees F (175 degrees C).
Whisk egg in a small bowl.
Mix bread crumbs and oil together in a second bowl until mixture becomes loose and crumbly.
Dip each chicken tenderloin into the bowl of egg; shake off any residual egg. Dip chicken into crumb mixture, making sure it is evenly and fully covered.
Lay chicken tenderloins in the air fryer basket in an even layer.
Air-fry until no longer pink in the center, about 12 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).
Serve hot and enjoy!"
112,Air Fryer Rib-Eye Steak,Air Fryer Recipes,Air Fryer Main Dish Recipes,"It's so easy to air-fry steaks in your air fryer. These definitely rival a steak cooked on the grill. You can marinate the rib-eyes in the morning before you leave for work, then cook them at night.",4,5,"Combine steaks, soy sauce, olive oil, and seasoning in a large resealable bag. Marinate meat for at least 2 hours.
Remove steaks from the bag and discard marinade. Pat excess oil off steaks.
Add about 1 tablespoon water to the bottom of the air fryer pan to prevent it from smoking during cooking. Preheat the air fryer to 400 degrees F (200 degrees C).
Cook steaks in the preheated air fryer for 7 minutes, flip, and cook about 7 minutes more for medium-rare. For a medium, cook 8 minutes per side.
Let steaks sit for about 5 minutes before serving."
113,Air Fryer Chicken Katsu with Homemade Katsu Sauce,Air Fryer Recipes,Air Fryer Main Dish Recipes,"Air fryer chicken katsu that is crispy on the outside, tender and juicy on the inside. The sauce is a little bit sweet, a little bit tangy, and complements the chicken perfectly. Serve over rice if desired.",6,7,"Gather the ingredients.
Prepare sauce: Whisk ketchup, soy sauce, brown sugar, sherry, Worcestershire sauce, and garlic together in a bowl until sugar has dissolved. Set katsu sauce aside. Preheat an air fryer to 350 degrees F (175 degrees C).
Meanwhile, lay chicken pieces on a clean work surface. Season with salt and pepper.
Place beaten eggs in a flat dish or shallow bowl. Pour bread crumbs into a second flat dish. Dredge chicken pieces in egg and then in bread crumbs. Repeat by dredging chicken in egg and then bread crumbs again, pressing down so the bread crumbs stick to the chicken.
Place chicken pieces in the basket of the preheated air fryer. Spray the tops with nonstick cooking spray.
Air fry for 10 minutes. Flip chicken pieces over using a spatula and spray the tops with nonstick cooking spray. Cook for 8 minutes more. Transfer chicken to a cutting board and slice. Serve with katsu sauce.
Serve with katsu sauce and enjoy!"
114,Air Fryer Scotch Eggs,Air Fryer Recipes,Air Fryer Main Dish Recipes,"Air fryer Scotch eggs are easy to make! Plus, you get all the deliciousness without the mess and added fat of deep-frying. They make the perfect breakfast, brunch, or snack, especially when served with the mango chutney dipping sauce. Cook the eggs to your liking, either hard-boiled or slightly soft. You can't go wrong.",7,6,"Make the dipping sauce: Combine yogurt, chutney, mayonnaise, salt, pepper, curry powder, and cayenne in a small bowl. Refrigerate until ready to use.
Make the Scotch eggs: Divide pork sausage into 6 even portions. Flatten each portion into a thin patty. Place 1 hard-boiled egg in the middle of each patty and wrap sausage around eggs, sealing all sides. Set aside.
Preheat the air fryer to 390 degrees F (200 degrees C).
Place flour in a small bowl, beaten eggs in another small bowl, and panko on a plate. Dip each sausage-wrapped egg into flour, then dip into beaten egg, letting the excess drip off. Roll in panko and place on a plate.
Spray the air fryer basket with cooking spray. Arrange eggs in the basket in a single layer without overcrowding; cook in batches if necessary. Cook in the preheated air fryer for 12 minutes, turning eggs over halfway through. Repeat with remaining eggs.
Serve with dipping sauce."
115,Air Fryer Rotisserie Chicken,Air Fryer Recipes,Air Fryer Main Dish Recipes,"This air fryer rotisserie chicken is very moist, perfectly seasoned, and really easy to make.",10,6,"Preheat an air fryer to 350 degrees F (175 degrees C) according to manufacturer's instructions.
Mix together salt, paprika, onion powder, thyme, white pepper, black pepper, cayenne, and garlic powder in a small bowl.
Rub 1 1/2 tablespoons oil over chicken, then 1/2 of the spice mixture.
Cook in the preheated air fryer for 30 minutes. Carefully remove chicken from the fryer. Flip chicken over; rub with remaining 1 1/2 tablespoons oil and sprinkle with remaining spice mixture.
Return chicken to the air fryer and continue to cook until no longer pink at the bone and the juices run clear, about 30 minutes more. An instant-read thermometer inserted into the thickest part of the thigh, near the bone, should read 165 degrees F (74 degrees C).
Remove chicken from the air fryer, cover with a doubled sheet of aluminum foil, and allow to rest in a warm area for 10 minutes before carving."
116,Dry Rub Air Fryer Chicken Wings,Air Fryer Recipes,Air Fryer Main Dish Recipes,Yummy air fryer chicken wings made with a sweet and spicy Memphis-style dry rub.,9,5,"Preheat the air fryer to 350 degrees F (175 degrees C).
Meanwhile, whisk brown sugar, paprika, salt, garlic powder, onion powder, poultry seasoning, mustard powder, and pepper together in a large bowl.
Toss in chicken wings and rub seasonings into chicken with your hands until fully coated.
Arrange wings in the air fryer basket, standing them up on their ends and leaning against each other and the wall of the basket.
Cook in the preheated air fryer until wings are cooked through, tender inside and golden brown and crisp on the outside, about 30 to 35 minutes. Transfer wings to a plate and serve hot."
117,Air Fryer Chicken Tenders,Air Fryer Recipes,Air Fryer Main Dish Recipes,"Homemade air fryer chicken tenders that are crispy on the outside, tender on the inside, and packed full of flavor. Dip in ranch or your favorite dipping sauce.",8,5,"Preheat an air fryer to 400 degrees F (200 degrees C) according to manufacturer's instructions.
Meanwhile, combine flour, paprika, parsley, seasoned salt, and pepper in a large bowl. Beat egg in a separate bowl.
Dredge each chicken tender in seasoned flour. Dip in beaten egg, then back in seasoned flour.
Coat basket with cooking spray; place as many coated chicken tenders in the air fryer basket as you can without overcrowding. Lightly mist the tops of the tenders with cooking spray.
Cook in the preheated air fryer for 8 minutes. Flip chicken over and lightly mist the tops with more cooking spray. Continue cooking until an instant-read thermometer inserted into the center of chicken reads 165 degrees F (74 degrees C), about 7 to 8 minutes more. Repeat with any remaining chicken tenders."
118,Air Fryer Buttermilk Fried Chicken,Air Fryer Recipes,Air Fryer Main Dish Recipes,Buttermilk fried chicken in the air fryer... Delicious fried chicken without the fry!,7,5,"Place chicken thighs in a shallow casserole dish. Pour buttermilk over chicken and refrigerate for 4 hours, or overnight.
Preheat an air fryer to 380 degrees F (190 degrees C).
Mix flour, seasoned salt, and pepper in a large gallon-sized resealable plastic bag. Dredge chicken thighs in seasoned flour. Dip back into buttermilk, then coat with panko bread crumbs.
Spray the air fryer basket with nonstick cooking spray. Arrange 1/2 of the chicken thighs in the basket, making sure none are touching. Spray top of each chicken thigh with cooking spray.
Cook in the preheated air fryer for 15 minutes. Flip the thighs and spray tops of chicken again. Cook until chicken is no longer pink in the center and the juices run clear, about 10 more minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Repeat with remaining chicken."
119,Breaded Air Fryer Pork Chops,Air Fryer Recipes,Air Fryer Main Dish Recipes,"These breaded pork chops, made in the air fryer, are perfectly tender and juicy. They require basic pantry ingredients and take just 10 minutes to cook. I like to use a Misto sprayer with my own oil, but feel free to use regular cooking spray.",5,6,"Preheat an air fryer to 400 degrees F (200 degrees C).
Place pork chops on a plate and season both sides with Cajun seasoning.
Pulse croutons in a small food processor until fine; transfer to a shallow dish. Lightly beat eggs in a separate shallow dish. Working one at a time, dip pork chops into beaten egg, letting excess drip off; press into crouton breading to coat both sides and place breaded chop, unstacked, onto a plate. Repeat with remaining chops. Mist chops with cooking spray.
Spray the air fryer basket with cooking spray and arrange chops in a single layer in the air fryer basket. You may have to do two batches depending on the size of your air fryer.
Cook in the preheated air fryer for 5 minutes; flip chops and mist again with cooking spray if there are dry areas. Cook 5 minutes more. An instant-read thermometer inserted into the center of the chops should read 145 degrees F (63 degrees C).
Serve hot and enjoy!"
120,Lumpia in the Air Fryer,Air Fryer Recipes,Air Fryer Main Dish Recipes,"This recipe forlumpiain the air fryer results in the same crispiness without having to deep-fry. Your taste buds will never know the difference, but your waistline will!",11,4,"Remove casing from sausage and cook in a skillet over medium heat until slightly browned, 4 to 5 minutes. Add green onions, carrots, water chestnuts, and onion. Cook and stir until onions are soft and translucent, 5 to 7 minutes. Add garlic and cook for 1 to 2 minutes. Season with soy sauce, salt, and ginger. Stir until filling is well combined; remove from heat.
Lay a spring roll wrapper at an angle. Place a scant 1/4 cup filling in the center of the wrapper. Fold bottom corner over filling and tuck in the sides to form a roll. Use your finger to lightly moisten edges with water. Repeat with remaining wrappers and filling. Mist each roll with avocado oil cooking spray.
Preheat an air fryer to 390 degrees F (198 degrees C).
Place lumpia rolls in the air fryer basket, making sure they are not touching; cook in batches if necessary. Fry for 4 minutes; flip and cook until skins are crispy, about 4 minutes more."
121,Air Fryer BBQ Baby Back Ribs,Air Fryer Recipes,Air Fryer Main Dish Recipes,These air fryer ribs are about as close to the low and slow as you can get without the wait! The easy homemade rub and barbeque glaze in this recipe add great color and extra flavor.,11,5,"Preheat an air fryer to 350 degrees F (175 degrees C).
Strip membrane from the back of ribs. Cut ribs into 4 equal portions.
Combine brown sugar, white sugar, sweet paprika, smoked paprika, granulated garlic, pepper, cumin, onion, and Greek seasoning in a small bowl.
Rub spice mixture all over ribs. Place ribs in the air fryer basket.
Cook ribs in the preheated air fryer for 30 minutes, turning once halfway. Brush with barbeque sauce, then air-fry for 5 more minutes."
122,Air Fryer Sauteed Onions,Air Fryer Recipes,Air Fryer Side Dish Recipes,"Air fryer sauteed onions add a lot to burgers, sandwiches, tacos, fajitas, or even rice or mashed potatoes. I like them as a topping for steaks—the possibilities are endless.",3,3,"Preheat an air fryer to 400 degrees F (200 degrees C).
Place onion petals and olive oil in a bowl; season with salt and pepper and toss to coat.
Pour mixture into the basket of the air fryer. Cook 10 minutes. Shake the basket and cook 2 minutes more."
123,Air Fryer Baked Yams,Air Fryer Recipes,Air Fryer Side Dish Recipes,"These air fryer baked yams free up the oven, which is especially helpful during the holidays, and come out every bit as tender and moist as oven-baked yams.",2,3,"Preheat an air fryer to 400 degrees F (200 degrees C).
Scrub yam clean and dry with a paper towel. Rub all over with olive oil.
Place yam in the preheated air fryer, and cook until tender when pierced with a fork, 15 to 20 minutes."
124,Air Fryer Eggplant,Air Fryer Recipes,Air Fryer Side Dish Recipes,"For this air fryer eggplant, there's no need for time-consuming breading. This quick-and-easy eggplant is tasty, soft, and creamy on the inside.",6,3,"Preheat an air fryer to 400 degrees F (200 degrees C). Place a disposable paper liner in the air fry basket or give it a spritz of cooking spray.
Stir eggplant cubes in a large bowl with avocado oil. Sprinkle with garlic powder, thyme, lemon pepper, and salt. Toss until all pieces are well coated.
Place the eggplant cubes in a single layer in the air fryer basket, and mist with cooking spray. Cook until browned on the outside and tender inside, 15 to 17 minutes, shaking the basket halfway through. Serve immediately."
125,Air Fryer Sriracha Fries,Air Fryer Recipes,Air Fryer Side Dish Recipes,"These air fryer Sriracha fries are the best French fries for anyone who loves spicy food—golden, crispy, and spicy!",4,8,"Cut potatoes into fries. Place cut fries into a bowl of water; soak for 1 hour.
Preheat the oven to 200 degrees F (95 degrees C). Line a baking sheet with paper towels and set a wire rack over the sheet.
Preheat the air fryer to 375 degrees F according to manufacturer's instructions.
Drain fries, and pat dry with a paper towel. Place fries in a resealable plastic bag. Add oil, 1 tablespoon Sriracha, and salt. Seal the bag and toss to coat.
Add fries to bottom of air fryer basket in a single flat layer, not stacked. You will have to work in batches.
Air fry until crispy and golden brown, about 13 minutes.
Place fries on the prepared baking sheet; keep warm in the preheated oven. Repeat with remaining fries.
Place fries on a platter; drizzle with remaining sriracha. Enjoy."
126,Crispy Air Fryer Potato Bites,Air Fryer Recipes,Air Fryer Side Dish Recipes,"These crispy air fryer potato bites are crispy and flavorful on the outside, tender on the inside. The grated Parmesan creates a perfect crust in the air fryer.",6,3,"Preheat the air fryer to 400 degrees F (200 degrees C) according to manufacturer's instructions.
Place cubed potatoes in a large bowl. Add olive oil and toss to coat. Add garlic powder, salt and pepper; toss again. Add grated Parmesan and toss one last time.
Place seasoned potatoes in the basket of the preheated air fryer. Cook for 8 minutes. Shake and cook until tender, about 4 minutes more. Serve immediately."
127,Copycat Wingstop Cajun Corn,Air Fryer Recipes,Air Fryer Side Dish Recipes,"This copycat Wingstop Cajun corn is seasoned with garlic, cayenne, and herbs, exactly like your favorite restaurant version.",11,4,"Cut corn into 2-inch thick pieces. Toss corn with olive oil, 1 teaspoon salt and 2 tablespoons melted butter.
Preheat an air fryer to 400 degrees F (200 degrees C) according to manufacturer's instructions. Add corn to air fryer and cook about 15 minutes, tossing occasionally, until partially golden brown.
Meanwhile, combine remaining salt and butter with remaining ingredients in a large bowl and mix well.
Add cooked corn to butter mixture and toss well to coat."
128,Air Fryer Smashed Potatoes,Air Fryer Recipes,Air Fryer Side Dish Recipes,"These golden, crispy air fryer smashed potatoes are easier to make than you think in just 20 minutes! They're flavored with garlic and brushed with butter to make them extra crispy.",6,5,"Preheat an air fryer to 400 degrees F (200 degrees C).
Meanwhile, place potatoes in a microwave-safe bowl: cook on high until just tender, about 5 minutes.
Transfer potatoes to a baking sheet and use the bottom of a small glass to gently ""smash"" them to 3/4 or 1/2-inch thick. The thinner you flatten the potatoes, the crispier they will be.
Brush melted butter over the tops of smashed potatoes. Season with salt, garlic powder, and pepper.
Place potatoes in the basket of the air fryer in an even layer; cook until golden and crisp, about 10 minutes. Garnish with parsley and serve hot."
129,Air Fryer Truffle Polenta Fries,Air Fryer Recipes,Air Fryer Side Dish Recipes,"These air fryer truffle polenta fries, flavored with truffle-infused oil and truffle zest, are crispy on the outside, tender and juicy on the inside. I like to serve them alongside a steak—steak frites so to speak. Serve with any dipping sauce; I recommend a spicy mayo, marinara, ranch, or ketchup.",5,5,"Preheat an air fryer to 400 degrees F (200 degrees C) according to manufacturer's instructions. Line a baking sheet with paper towels; set aside.
Cut the tube of polenta in half widthwise. Cut each half in half lengthwise and then cut into 1/2-inch wide fry-shaped sticks.
Whisk truffle-infused olive oil and truffle zest in a bowl. Add fries and gently toss to coat.
Place fries in the basket of the air fryer in a single layer. Depending on the size of your air fryer, fries may need to be cooked in batches.
Cook for 10 minutes. Shake the basket and cook 5 minutes more. Using tongs, transfer fries to the prepared baking sheet. Garnish with Parmesan and chopped parsley."
130,Air Fryer Cheesy Bacon Ranch French Fries,Air Fryer Recipes,Air Fryer Side Dish Recipes,These simple cheesy bacon ranch fries are great as an appetizer or served with grilled burgers. It all starts with frozen fries so it's perfect for a last minute side or unexpected guests. They never disappoint. Garnish with chopped chives and serve with ranch salad dressing if desired.,6,4,"Preheat an air fryer to 400 degrees Fahrenheit (200 degrees C). Place frozen French fries in a large bowl.
Whisk olive oil and dry ranch salad mix in a separate small bowl until smooth. Pour olive oil mixture over the fries and toss to coat. Add bacon bits and salt. Toss again.
Place seasoned fries in the basket of the air fryer. Cook for 7 minutes. Shake the basket and cook 5 minutes more.
Sprinkle shredded cheese over the fries. Cook 2 minutes. Using a spatula, transfer to a serving platter and serve immediately."
131,Air Fryer Garlic Green Beans,Air Fryer Recipes,Air Fryer Side Dish Recipes,"These garlic green beans are so simple. This side dish comes together in a flash while you prepare the rest of your dinner, thanks to the air fryer.",5,3,"Preheat an air fryer to 400 degrees F (200 degrees C).
Place green beans in a bowl. Add olive oil, garlic, seasoned salt, and ground black pepper. Toss to coat.
Place green beans in the basket of the air fryer. Cook until crisp-tender, about 10 minutes, shaking the basket halfway through cooking time."
132,Air Fryer Green Beans,Air Fryer Recipes,Air Fryer Side Dish Recipes,"The fresh flavors of summer come alive in these air fryer green beans, a very simple side dish. They pair well with grilled chicken, fish or pork.",6,3,"Preheat the air fryer to 380 degrees F (195 degrees C).
Place green beans, olive oil, lemon juice, salt, and pepper in a large bowl and toss to coat. Using tongs, place green beans into the air fryer basket without overcrowding, reserving any remaining liquid in the bowl. You may need to work in batches, depending on the size of your air fryer.
Cook green beans until crisp-tender, 8 to 10 minutes, shaking the basket halfway through. When green beans are done, return to the bowl and toss with the lemon zest. Serve with additional lemon wedges."
133,Air Fryer Lemon-Thyme Baby Red Potatoes,Air Fryer Recipes,Air Fryer Side Dish Recipes,"These air fryer baby red potatoes with lemon thyme make a simple side dish that goes with anything - beef, chicken, pork, fish – you name it. The best part is they take minimal prep, and are mostly hands off.",5,3,"Place potato halves in a bowl. Add olive oil, lemon pepper, thyme leaves, and salt. Toss until evenly combined.
Preheat an air fryer to 400 degrees F (200 degrees C) for 8 minutes.
Transfer potatoes with a slotted spoon to the basket of the air fryer. Cook for 20 minutes, shaking halfway through cooking time."
134,Air Fryer Red Potatoes,Air Fryer Recipes,Air Fryer Side Dish Recipes,"A few simple ingredients and the air fryer will turn these baby potatoes into a comforting side dish. They're suitable for any time of year, especially those hot summer days when you don't want to heat up the oven. I like to use mini potatoes that are between 1 to 1 1/2 inches in diameter.",6,4,"Preheat an air fryer to 400 degrees F (200 degrees C).
If potatoes are bigger than 1 1/2 inches in diameter, cut them in half. Combine potatoes, olive oil, salt, granulated garlic, and pepper in a large bowl. Toss to coat.
Using a slotted spoon, place potatoes into the air fryer basket without overcrowding, reserving any remaining oil in the bowl. You may need to do two batches. Stir rosemary into reserved oil; set aside. Cook potatoes until tender when pierced with a knife, about 15 to 20 minutes, shaking the basket every 5 minutes.
Return potatoes to the bowl and toss with rosemary oil mixture."
135,Air Fryer Bacon Wrapped Brussels Sprouts,Air Fryer Recipes,Air Fryer Side Dish Recipes,"Air fryer bacon wrapped Brussels sprouts come together by the time your grilled meat is finished resting. I serve this simple side dish with grilled steak, but these sprouts are equally good with chicken or pork.",3,4,"Gather ingredients. Preheat the air fryer to 400 degrees F (200 degrees C).
Place halved Brussels sprouts in a bowl; sprinkle with steak seasoning and toss to coat.
Wrap a half slice of bacon around a Brussels sprout half and place seam-side-down in the basket of the air fryer. Repeat with remaining bacon and Brussels sprouts.
Cook for 10 minutes undisturbed. Using tongs, transfer to a plate and serve immediately."
136,Air Fryer Loaded Mashed Potato Cakes,Air Fryer Recipes,Air Fryer Side Dish Recipes,This recipe utilizes leftover mashed potatoes and transforms them into a completely different side dish. Both in flavor and texture. You will want to add salt and pepper to your mashed potato mixture if they were not seasoned originally. Serve with sour cream if you like.,6,4,"Combine mashed potatoes, Cheddar cheese, green onions, bacon bits, and flour in a bowl; stir until combined. Mix in beaten egg.
Preheat air fryer to 400 degrees F (200 degrees C) for 10 minutes.
Form mixture into 6 patties and set on a baking sheet. Place baking sheet in the freezer for 10 minutes while you preheat the air fryer.
Place patties in the air fryer basket in batches, making sure to not overcrowd. Cook undisturbed for 12 minutes. Repeat with remaining patties."
137,Air Fryer Spicy Onion Rings,Air Fryer Recipes,Air Fryer Side Dish Recipes,"Crispy and crunchy on the outside, tender on the inside, with subtle layers of spicy flavor kicking in. Much healthier than deep frying. Serve warm with ketchup or your favorite dipping sauce.",1,6,"Whisk together buttermilk, egg, flour, chile and lime seasoning, and adobo seasoning for the batter in a shallow bowl. Cover and refrigerate for 30 minutes.
Combine panko, adobo seasoning, and chile and lime seasoning in a shallow dish; mix well. Remove batter from the fridge. Dip onion rings first into the batter, then into bread crumb mixture, turning to coat, and gently shake off excess crumbs. Lightly spritz the onion rings with cooking spray on both sides.
Preheat the air fryer to 340 degrees F (170 degrees C). Line the air fryer basket with a parchment liner or lightly spray with oil.
Place the breaded onion rings into the fryer basket in an even layer, leaving about 1/2-inch space between the slices.
Cook until crisp and lightly browned, flipping halfway through, 10 to 12 minutes. You may have to cook in batches, and cooking time may vary depending on the size and brand of your air fryer.
Remove from the air fryer, transfer to a baking sheet, sprinkle with kosher salt, and place in a 250 degrees F (120 degrees C) oven to keep warm."
138,Air Fryer Potato Wedges,Air Fryer Recipes,Air Fryer Side Dish Recipes,"Deliciously crispy air-fried potato wedges are perfectly seasoned and ready to serve in just over 30 minutes. It doesn't get any easier than this! Serve with ketchup for a tasty appetizer, or toss with some grated Parmesan for a cheesy potato side dish.",7,6,"Gather the ingredients. Preheat an air fryer to 400 degrees F (200 degrees C).
Cut each potato in half lengthwise. Cut each half in half lengthwise, and then cut each quarter in half lengthwise. You will have 16 wedges. Gather the seasonings.
Place potato wedges in a large bowl. Add olive oil, paprika, parsley, chili, salt, and pepper; mix until well combined.
Place 1/2 of the potato wedges in the basket of the air fryer and cook for 10 minutes.
Flip wedges with tongs and cook for an additional 5 minutes. Remove to a plate. Repeat to cook the remaining wedges.
Serve hot and enjoy!"
139,Easy Air Fryer Baked Potatoes,Air Fryer Recipes,Air Fryer Side Dish Recipes,"This air fryer baked potato recipe makes tender, delicious baked potatoes with crispy, flavorful skin. Finish them with a dollop of sour cream, if you'd like.",6,4,"Gather all ingredients. Preheat an air fryer to 400 degrees F (200 degrees C).
Rub potatoes with olive oil and season with salt, pepper, garlic powder, and parsley. Place potatoes in the air fryer basket.
Cook in the preheated air fryer until potatoes are soft, 40 to 50 minutes, depending on potato size.
Slice potatoes lengthwise. Pinch both sides of each potato, using your hands and forcing potatoes to open, until the fluffy insides start to come out. Add 1 tablespoon of butter into each potato."
140,Air Fryer Asparagus,Air Fryer Recipes,Air Fryer Side Dish Recipes,"Air fryer asparagus is a quick and easy vegetable side dish for busy weeknights. Flavored with garlic, red pepper flakes, and Parmesan cheese this delicious asparagus side dish can be on your table in a matter of minutes. Using the air fryer makes roasting vegetables a breeze!",7,3,"Gather all ingredients. Preheat the air fryer to 375 degrees F (190 degrees C). Line the basket with parchment paper.
Place asparagus spears in the prepared basket and mist with avocado oil. Sprinkle with garlic powder, salt, pepper, and pepper flakes. Top with Parmesan cheese.
Air-fry until asparagus spears start to char, 7 to 9 minutes."
141,Air Fryer Corn on The Cob,Air Fryer Recipes,Air Fryer Side Dish Recipes,"Air fryer corn on the cob is super quick to make and full of sweet roasted corn flavor. I like to roll them in mayo, chili powder, lime juice, and cotija for all of the flavors you get in crispy Mexican street corn without having to fire up the grill!",6,4,"Preheat an air fryer to 400 degrees F (200 degrees C).
Mix mayonnaise, cotija cheese, lime juice, and chili powder in a shallow dish.
Roll each piece of corn in the mayonnaise mixture until all sides are covered.
Place all 4 pieces of corn in the air fryer basket; cook in the preheated air fryer until golden, crisp, and tender, about 8 minutes. Garnish with cilantro."
142,Simple Air Fryer Brussels Sprouts,Air Fryer Recipes,Air Fryer Side Dish Recipes,"Air fryer Brussels sprouts without bells and whistles, just delicious sprouts with crispy brown edges and soft insides.",5,5,"Gather all ingredients and preheat an air fryer to 390 degrees F (200 degrees C) for 15 minutes.
While the air fryer is preheating, trim Brussels sprouts. Place in a bowl with olive oil, garlic powder, salt, and pepper in a bowl and mix well.
Spread sprouts evenly in the air fryer basket.
Cook in the preheated air fryer for 15 minutes, checking and shaking the basket halfway through the cycle.
Serve and enjoy!"
143,Air Fryer Butternut Squash Home Fries,Air Fryer Recipes,Air Fryer Side Dish Recipes,These air fryer butternut squash home fries are seasoned with bagel seasoning and fresh rosemary for a tasty brunch dish that fits into any fall-themed menu.,4,3,"Preheat an air fryer to 400 degrees F (200 degrees C).
Toss butternut squash with olive oil in a large bowl. Add squash pieces to the air fryer basket. Cook until lightly browned, stirring every 3 to 4 minutes, about 22 minutes total.
Transfer to a bowl or serving plate and sprinkle seasoning blend evenly over the top. Garnish with fresh rosemary."
144,Air Fryer Sweet Potato Fries,Air Fryer Recipes,Air Fryer Side Dish Recipes,These crispy air fryer sweet potato fries take only 10 minutes to cook. They are simple to make and delicious. I bet you can't eat just one!,6,5,"Preheat the air fryer to 400 degrees F (200 degrees C).
Cut sweet potato into 1/2-inch wide fries. Place in a bowl with canola oil; toss to coat. Season with salt, pepper, garlic powder, and paprika; mix until all fries are evenly coated.
Working in batches if necessary, place an even layer of fries in the air fryer basket.
Cook in the preheated air fryer until golden, about 10 minutes. Repeat to cook remaining fries.
Serve hot and enjoy!"
